                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2317,                0.74596,                      0,                 2.8038,                 2.1947,                0.75379,                0.62963,                0.71902,                0.42949,                0.84107,                 0.7842,                0.90283,                0.78882,                   1.21,                0.60203,                      0,                 1.2213,                  1.305,                 0.0002,                 0.0002,                 0.0002
                      2,                 1.2341,                0.49877,                      0,                0.99158,                   1.28,                0.99243,                      1,                  0.995,                0.69799,                0.99243,                      1,                  0.995,                0.90978,                 1.0054,                0.47149,                      0,                0.64408,                  1.226,             0.00039921,             0.00039921,             0.00039921
                      3,                 1.0766,                 0.3323,                      0,                0.83027,                 1.1881,                0.99737,                      1,                  0.995,                0.66936,                0.99737,                      1,                  0.995,                0.96583,                0.98004,                0.30966,                      0,                0.83654,                 1.1201,             0.00057664,             0.00057664,             0.00057664
                      4,                 1.0442,                0.26473,                      0,                0.78874,                 1.1605,                0.98342,                      1,                  0.995,                0.62117,                0.98342,                      1,                  0.995,                0.97398,                 1.1555,                0.24022,                      0,                0.97073,                 1.3685,             0.00073229,             0.00073229,             0.00073229
                      5,                  1.037,                 0.2154,                      0,                0.80375,                 1.1779,                0.91819,                0.96296,                0.98092,                0.71766,                0.91819,                0.96296,                0.98169,                0.96518,                 1.0606,                 0.2539,                      0,                0.89642,                 1.2649,             0.00086616,             0.00086616,             0.00086616
                      6,                0.99259,                0.19286,                      0,                0.77527,                 1.1413,                 0.9566,                 0.8165,                0.94511,                0.77238,                0.92072,                0.86057,                0.96336,                0.94645,                0.79598,                0.20453,                      0,                0.91013,                 1.0303,             0.00097825,             0.00097825,             0.00097825
                      7,                0.95025,                0.15955,                      0,                0.69958,                 1.0917,                0.96129,                      1,                  0.995,                0.76063,                0.96129,                      1,                  0.995,                0.98383,                0.84159,                0.19636,                      0,                 1.2029,                 1.0138,              0.0010686,              0.0010686,              0.0010686
                      8,                 1.0507,                0.16171,                      0,                0.79399,                 1.1726,                0.92618,                0.92943,                0.98017,                0.72818,                0.92618,                0.92943,                0.98017,                0.96954,                0.95416,                0.18975,                      0,                 1.9833,                 1.0783,              0.0011371,              0.0011371,              0.0011371
                      9,                  0.972,                0.14373,                      0,                0.74509,                 1.1305,                 0.9573,                      1,                  0.995,                0.71648,                 0.9573,                      1,                  0.995,                0.98537,                0.89972,                0.18958,                      0,                 1.3206,                  1.127,              0.0011838,              0.0011838,              0.0011838
                     10,                 1.0374,                0.14358,                      0,                0.79532,                 1.1301,                0.99367,                      1,                  0.995,                0.76058,                0.99367,                      1,                  0.995,                0.98617,                0.80109,                0.15277,                      0,                0.70447,                 1.0105,               0.001109,               0.001109,               0.001109
                     11,                0.86954,                 0.0995,                      0,                0.57258,                 1.0592,                0.95653,                0.96296,                0.94347,                0.71369,                0.95653,                0.96296,                0.94347,                0.92216,                0.85669,                  0.275,                      0,                0.79309,                 1.0349,               0.001109,               0.001109,               0.001109
                     12,                0.77685,                0.11179,                      0,                 0.5796,                 1.0253,                  0.993,                0.92593,                0.99145,                0.78032,                      1,                0.95275,                0.99293,                0.96879,                0.80008,                0.20212,                      0,                0.64471,                 1.0002,                0.00101,                0.00101,                0.00101
                     13,                0.66683,                0.09313,                      0,                 0.4756,                0.94995,                0.99954,                      1,                  0.995,                0.83211,                0.99954,                      1,                  0.995,                0.99191,                0.66044,                 0.1653,                      0,                0.69023,                 0.9312,               0.000911,               0.000911,               0.000911
                     14,                0.66838,                0.09021,                      0,                0.46684,                0.98966,                0.99483,                      1,                  0.995,                0.84452,                0.99483,                      1,                  0.995,                  0.995,                0.69236,                0.10251,                      0,                0.79321,                 0.8994,               0.000812,               0.000812,               0.000812
                     15,                0.67211,                0.08309,                      0,                0.45123,                0.96143,                0.99663,                      1,                  0.995,                0.85799,                0.99663,                      1,                  0.995,                0.99169,                0.59165,                  0.097,                      0,                0.51187,                0.87231,               0.000713,               0.000713,               0.000713
                     16,                 0.6462,                0.07901,                      0,                0.44251,                0.95255,                0.99718,                      1,                  0.995,                0.86761,                0.99718,                      1,                  0.995,                0.98089,                0.57936,                0.15028,                      0,                0.45683,                0.87622,               0.000614,               0.000614,               0.000614
                     17,                0.62568,                0.08592,                      0,                0.43135,                0.91685,                0.99693,                      1,                  0.995,                0.85565,                0.99693,                      1,                  0.995,                0.99226,                0.60251,                0.09545,                      0,                 0.4351,                0.87937,               0.000515,               0.000515,               0.000515
                     18,                 0.6335,                0.07463,                      0,                 0.4195,                0.96353,                0.99226,                      1,                  0.995,                0.87676,                0.99226,                      1,                  0.995,                  0.995,                0.52985,                0.09369,                      0,                0.46288,                 0.8506,               0.000416,               0.000416,               0.000416
                     19,                0.57765,                0.07063,                      0,                0.38858,                0.90878,                0.99078,                      1,                  0.995,                0.89008,                0.99078,                      1,                  0.995,                  0.995,                0.52907,                0.09187,                      0,                0.44269,                0.84134,               0.000317,               0.000317,               0.000317
                     20,                0.54228,                0.06971,                      0,                 0.3721,                0.91795,                0.98926,                      1,                  0.995,                0.88372,                0.98926,                      1,                  0.995,                0.99175,                0.52262,                0.08665,                      0,                0.39215,                0.84133,               0.000218,               0.000218,               0.000218
